pregunta;respuesta;texto_embedding;categoria_nombre;categoria_completa
Dónde puedo ir a dejar un reclamo, comentario o denuncia;Si necesitas dejar un reclamo, denuncia o comentario, puedes acercarte al módulo de Servicio al Cliente, ubicado en el piso -3, al fondo, al lado de Pastelería Jo y Farmacias Ahumada;CATEGORIA: Otras preguntas | PREGUNTA: Dónde puedo ir a dejar un reclamo, comentario o denuncia | RESPUESTA: Si necesitas dejar un reclamo, denuncia o comentario, puedes acercarte al módulo de Servicio al Cliente, ubicado en el piso -3, al fondo, al lado de Pastelería Jo y Farmacias Ahumada;Otras preguntas;10 Otras preguntas
Dónde puedo preguntar por cosas u objetos perdidos;Para preguntar por cosas u objetos perdidos, debes acercarte al módulo de servicio al cliente, ubicado en el piso -3 de MUT, al fondo, al lado de Pastelería Jo y Farmacias Ahumada;CATEGORIA: Otras preguntas | PREGUNTA: Dónde puedo preguntar por cosas u objetos perdidos | RESPUESTA: Para preguntar por cosas u objetos perdidos, debes acercarte al módulo de servicio al cliente, ubicado en el piso -3 de MUT, al fondo, al lado de Pastelería Jo y Farmacias Ahumada;Otras preguntas;10 Otras preguntas
Dónde está el restaurante Ambrosía;Es restaurante Ambrosía, está en el piso 4 de MUT;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Dónde está el restaurante Ambrosía | RESPUESTA: Es restaurante Ambrosía, está en el piso 4 de MUT;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Dónde está la Librería Antártica;La Librería Antártica, está en el piso 3 de MUT;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Dónde está la Librería Antártica | RESPUESTA: La Librería Antártica, está en el piso 3 de MUT;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Dónde está el restaurante Toni Lautaro;Es restaurante Toni Lautaro, está en el piso 4 de MUT;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Dónde está el restaurante Toni Lautaro | RESPUESTA: Es restaurante Toni Lautaro, está en el piso 4 de MUT;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Dónde está el restaurante Diablo;Es restaurante Diablo, está en el piso 5 de MUT;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Dónde está el restaurante Diablo | RESPUESTA: Es restaurante Diablo, está en el piso 5 de MUT;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Dónde está el restaurante Embarcadero;Es restaurante Embarcadero, está en el piso -2 de MUT;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Dónde está el restaurante Embarcadero | RESPUESTA: Es restaurante Embarcadero, está en el piso -2 de MUT;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Dónde está la tienda de muebles LARRY;La tienda LARRY está en el piso -3 de MUT, atrás de los ascensores centrales;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Dónde está la tienda de muebles LARRY | RESPUESTA: La tienda LARRY está en el piso -3 de MUT, atrás de los ascensores centrales;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Dónde está la sala de lactancia de MUT;La sala de lactancia de MUT está en el piso 3 de MUT al lado de la librería Azafrán y los baños de piso 3;CATEGORIA: Otras preguntas | PREGUNTA: Dónde está la sala de lactancia de MUT | RESPUESTA: La sala de lactancia de MUT está en el piso 3 de MUT al lado de la librería Azafrán y los baños de piso 3;Otras preguntas;10 Otras preguntas
Por dónde entro a dejar un delivery que tengo que ir a buscar;Si eres moto delivery y vienes a buscar un pedido a MUT, debes entrar con tu moto por la calle Encomenderos, estacionarte en el piso -3 donde está señalizado. Entras por el mismo piso -3 a MUT;CATEGORIA: Otras preguntas | PREGUNTA: Por dónde entro a dejar un delivery que tengo que ir a buscar | RESPUESTA: Si eres moto delivery y vienes a buscar un pedido a MUT, debes entrar con tu moto por la calle Encomenderos, estacionarte en el piso -3 donde está señalizado. Entras por el mismo piso -3 a MUT;Otras preguntas;10 Otras preguntas
Soy proveedor y vengo a dejar un pedido de una oficina o local, dónde me estaciono;Si vienes en auto, te puedes estacionar en el piso -4. Tienes 1 hora liberada de pago para alcanzar a entregar Si vienes en camión, debes estacionarte en el andén de carga, piso -2, previo registro. Cualquier duda adicional, debes comunicarte con tu solicitante;CATEGORIA: Otras preguntas | PREGUNTA: Soy proveedor y vengo a dejar un pedido de una oficina o local, dónde me estaciono | RESPUESTA: Si vienes en auto, te puedes estacionar en el piso -4. Tienes 1 hora liberada de pago para alcanzar a entregar Si vienes en camión, debes estacionarte en el andén de carga, piso -2, previo registro. Cualquier duda adicional, debes comunicarte con tu solicitante;Otras preguntas;10 Otras preguntas
Cuál es la dirección de MUT;La dirección de MUT es: Apoquindo 2730;CATEGORIA: Otras preguntas | PREGUNTA: Cuál es la dirección de MUT | RESPUESTA: La dirección de MUT es: Apoquindo 2730;Otras preguntas;10 Otras preguntas
Cuál es la dirección de las oficinas MUT Roger de Flor;La dirección de MUT Roger de Flor es: Roger de Flor 2775;CATEGORIA: Información sobre ubicación de oficinas MUT | PREGUNTA: Cuál es la dirección de las oficinas MUT Roger de Flor | RESPUESTA: La dirección de MUT Roger de Flor es: Roger de Flor 2775;Información sobre ubicación de oficinas MUT;7 Información sobre ubicación de oficinas MUT
Cuál es la dirección de las oficinas MUT Apoquindo;La dirección de MUT Apoquindo es: Apoquindo 2730;CATEGORIA: Información sobre ubicación de oficinas MUT | PREGUNTA: Cuál es la dirección de las oficinas MUT Apoquindo | RESPUESTA: La dirección de MUT Apoquindo es: Apoquindo 2730;Información sobre ubicación de oficinas MUT;7 Información sobre ubicación de oficinas MUT
Qué empresas hay en los edificios de oficinas de MUT;En MUT hay oficinas de las siguientes empresas: METLIFE- PROVIDA- TERRITORIA - BUK - SIMPLI - SIERRA GORDA - ALBEMARLE - ISDIN - SCHNEIDER ELECTRIC - SMA - ENEL - SII GROUP - MUREX;CATEGORIA: Información sobre ubicación de oficinas MUT | PREGUNTA: Qué empresas hay en los edificios de oficinas de MUT | RESPUESTA: En MUT hay oficinas de las siguientes empresas: METLIFE- PROVIDA- TERRITORIA - BUK - SIMPLI - SIERRA GORDA - ALBEMARLE - ISDIN - SCHNEIDER ELECTRIC - SMA - ENEL - SII GROUP - MUREX;Información sobre ubicación de oficinas MUT;7 Información sobre ubicación de oficinas MUT
Dónde queda la oficina de Territoria en MUT;La oficina de Territoria queda en el edificio MUT Roger de Flor (puerta naranja). Su dirección es Roger de Flor 2775, piso 14.;CATEGORIA: Información sobre ubicación de oficinas MUT | PREGUNTA: Dónde queda la oficina de Territoria en MUT | RESPUESTA: La oficina de Territoria queda en el edificio MUT Roger de Flor (puerta naranja). Su dirección es Roger de Flor 2775, piso 14.;Información sobre ubicación de oficinas MUT;7 Información sobre ubicación de oficinas MUT
Dónde quedan las oficinas de Enel en MUT;La oficina de Enel queda en el edificio MUT Encomenderos (puerta azul). Su dirección es Roger de Flor 2725;CATEGORIA: Información sobre ubicación de oficinas MUT | PREGUNTA: Dónde quedan las oficinas de Enel en MUT | RESPUESTA: La oficina de Enel queda en el edificio MUT Encomenderos (puerta azul). Su dirección es Roger de Flor 2725;Información sobre ubicación de oficinas MUT;7 Información sobre ubicación de oficinas MUT
Dónde quedan las oficinas de ISDIN en MUT;La oficina de ISDIN queda en el edificio MUT Roger de Flor (puerta naranja). Su dirección es Roger de Flor 2775, piso 10.;CATEGORIA: Información sobre ubicación de oficinas MUT | PREGUNTA: Dónde quedan las oficinas de ISDIN en MUT | RESPUESTA: La oficina de ISDIN queda en el edificio MUT Roger de Flor (puerta naranja). Su dirección es Roger de Flor 2775, piso 10.;Información sobre ubicación de oficinas MUT;7 Información sobre ubicación de oficinas MUT
Dónde quedan las oficinas de SIMPLI en MUT;La oficina de SIMPLI está en el edificio MUT Roger de Flor (puerta naranja). Su dirección es Roger de Flor 2775, piso 12.;CATEGORIA: Información sobre ubicación de oficinas MUT | PREGUNTA: Dónde quedan las oficinas de SIMPLI en MUT | RESPUESTA: La oficina de SIMPLI está en el edificio MUT Roger de Flor (puerta naranja). Su dirección es Roger de Flor 2775, piso 12.;Información sobre ubicación de oficinas MUT;7 Información sobre ubicación de oficinas MUT
Dónde quedan las oficinas de SIERRA GORDA en MUT;La oficina de SIERRA GORDA está en el edificio MUT Roger de Flor(puerta naranja). Su dirección es Roger de Flor 2775, piso 13.;CATEGORIA: Información sobre ubicación de oficinas MUT | PREGUNTA: Dónde quedan las oficinas de SIERRA GORDA en MUT | RESPUESTA: La oficina de SIERRA GORDA está en el edificio MUT Roger de Flor(puerta naranja). Su dirección es Roger de Flor 2775, piso 13.;Información sobre ubicación de oficinas MUT;7 Información sobre ubicación de oficinas MUT
Dónde quedan las oficinas de BUK en MUT;Las oficinas de BUK están en el edificio MUT Roger de Flor(puerta naranja). Su dirección es Roger de Flor 2775, pisos 15,16 y 17.;CATEGORIA: Información sobre ubicación de oficinas MUT | PREGUNTA: Dónde quedan las oficinas de BUK en MUT | RESPUESTA: Las oficinas de BUK están en el edificio MUT Roger de Flor(puerta naranja). Su dirección es Roger de Flor 2775, pisos 15,16 y 17.;Información sobre ubicación de oficinas MUT;7 Información sobre ubicación de oficinas MUT
Dónde quedan las oficinas de SCHNEIDER ELECTRIC en MUT;Las oficinas de SCHNEIDER ELECTRICE (SE) están en el edificio MUT Apoquindo (puerta roja). Su dirección es Apoquindo 2730, piso 9.;CATEGORIA: Información sobre ubicación de oficinas MUT | PREGUNTA: Dónde quedan las oficinas de SCHNEIDER ELECTRIC en MUT | RESPUESTA: Las oficinas de SCHNEIDER ELECTRICE (SE) están en el edificio MUT Apoquindo (puerta roja). Su dirección es Apoquindo 2730, piso 9.;Información sobre ubicación de oficinas MUT;7 Información sobre ubicación de oficinas MUT
Dónde quedan las oficinas de METLIFE y PROVIDA en MUT;Las oficinas de METLIFE y PROVIDA están en el edificio MUT Apoquindo (puerta roja). Su dirección es Apoquindo 2730, pisos 13 al 18.;CATEGORIA: Información sobre ubicación de oficinas MUT | PREGUNTA: Dónde quedan las oficinas de METLIFE y PROVIDA en MUT | RESPUESTA: Las oficinas de METLIFE y PROVIDA están en el edificio MUT Apoquindo (puerta roja). Su dirección es Apoquindo 2730, pisos 13 al 18.;Información sobre ubicación de oficinas MUT;7 Información sobre ubicación de oficinas MUT
Dónde quedan las oficinas de SMA en MUT;Las oficinas de SMA están en el edificio MUT Apoquindo (puerta roja). Su dirección es Apoquindo 2730, piso 6.;CATEGORIA: Información sobre ubicación de oficinas MUT | PREGUNTA: Dónde quedan las oficinas de SMA en MUT | RESPUESTA: Las oficinas de SMA están en el edificio MUT Apoquindo (puerta roja). Su dirección es Apoquindo 2730, piso 6.;Información sobre ubicación de oficinas MUT;7 Información sobre ubicación de oficinas MUT
Dónde quedan las oficinas de ALBEMARLE en MUT;Las oficinas de ALBEMARLE están en el edificio MUT Apoquindo (puerta roja). Su dirección es Apoquindo 2730, pisos 9 y 10.;CATEGORIA: Información sobre ubicación de oficinas MUT | PREGUNTA: Dónde quedan las oficinas de ALBEMARLE en MUT | RESPUESTA: Las oficinas de ALBEMARLE están en el edificio MUT Apoquindo (puerta roja). Su dirección es Apoquindo 2730, pisos 9 y 10.;Información sobre ubicación de oficinas MUT;7 Información sobre ubicación de oficinas MUT
Dónde quedan las oficinas de MUREX en MUT;Las oficinas de MUREX están en el edificio MUT Apoquindo (puerta roja). Su dirección es Apoquindo 2730, piso 11.;CATEGORIA: Información sobre ubicación de oficinas MUT | PREGUNTA: Dónde quedan las oficinas de MUREX en MUT | RESPUESTA: Las oficinas de MUREX están en el edificio MUT Apoquindo (puerta roja). Su dirección es Apoquindo 2730, piso 11.;Información sobre ubicación de oficinas MUT;7 Información sobre ubicación de oficinas MUT
Dónde quedan las oficinas de SII GROUP en MUT;Las oficinas de SII GROUP están en el edificio MUT Apoquindo (puerta roja). Su dirección es Apoquindo 2730, piso 12.;CATEGORIA: Información sobre ubicación de oficinas MUT | PREGUNTA: Dónde quedan las oficinas de SII GROUP en MUT | RESPUESTA: Las oficinas de SII GROUP están en el edificio MUT Apoquindo (puerta roja). Su dirección es Apoquindo 2730, piso 12.;Información sobre ubicación de oficinas MUT;7 Información sobre ubicación de oficinas MUT
Qué tiendas de Belleza y Maquillaje hay en MUT?;En MUT hay varias tiendas de Belleza y Maquillaje: -Piso 1: Blush Bar -Piso -1: Newen, Majen, Bath and Blanc, Bom Beauty, Khalu -Piso -3: Natura, The Body Shop, Pichara, Pink Lady, Farmacias Ahumada, Knop y Salcobrand.;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Qué tiendas de Belleza y Maquillaje hay en MUT? | RESPUESTA: En MUT hay varias tiendas de Belleza y Maquillaje: -Piso 1: Blush Bar -Piso -1: Newen, Majen, Bath and Blanc, Bom Beauty, Khalu -Piso -3: Natura, The Body Shop, Pichara, Pink Lady, Farmacias Ahumada, Knop y Salcobrand.;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Cuáles son los horarios de MUT;Horario general MUT: 10:00  20:00. Tiendas retail calle MUT: 10:00  20:30. Restaurantes y cocinerías pisos -2 y -3: 10:00  21:30. Restaurantes pisos 4 y 5: 13:00  23:00.;CATEGORIA: Otras preguntas | PREGUNTA: Cuáles son los horarios de MUT | RESPUESTA: Horario general MUT: 10:00  20:00. Tiendas retail calle MUT: 10:00  20:30. Restaurantes y cocinerías pisos -2 y -3: 10:00  21:30. Restaurantes pisos 4 y 5: 13:00  23:00.;Otras preguntas;10 Otras preguntas
"Cuáles son los valores o tarifas del estacionamiento de bicicletas o ""bici hub"" de MUT";Público general: 0 a 3 horas: gratis. Valor por minuto adicional: $8. Valor día completo. $5.000 (desde las 13 hrs. en adelante);"CATEGORIA: Otras preguntas | PREGUNTA: Cuáles son los valores o tarifas del estacionamiento de bicicletas o ""bici hub"" de MUT | RESPUESTA: Público general: 0 a 3 horas: gratis. Valor por minuto adicional: $8. Valor día completo. $5.000 (desde las 13 hrs. en adelante)";Otras preguntas;10 Otras preguntas
"Cualés son los valores por membresía o suscripción al estacionamiento de bicicletas o ""bici hub"" MUT";La suscripción básica al estacionamiento de bicicletas o bici hub de MUT tiene un valor mensual de 1UF + IVA. Incluye acceso ilimitado al bici hub. La suscripción Pro al estacionamiento de bicicletas o bici hub de MUT tiene un valor mensual de 1.5UF +IVA. Incluye acceso ilimitado al bicihub y a los camarines con duchas y lockers.;"CATEGORIA: Otras preguntas | PREGUNTA: Cualés son los valores por membresía o suscripción al estacionamiento de bicicletas o ""bici hub"" MUT | RESPUESTA: La suscripción básica al estacionamiento de bicicletas o bici hub de MUT tiene un valor mensual de 1UF + IVA. Incluye acceso ilimitado al bici hub. La suscripción Pro al estacionamiento de bicicletas o bici hub de MUT tiene un valor mensual de 1.5UF +IVA. Incluye acceso ilimitado al bicihub y a los camarines con duchas y lockers.";Otras preguntas;10 Otras preguntas
"Cómo obtengo mi membresía o suscripción al estacionamiento de bicicletas o ""bici hub"" MUT";Debes acercarte al estacionamiento de bicicletas o bici hub de MUT, ubicado en el piso -1 al fondo y suscribirte con el personal de recepción del bici hub.;"CATEGORIA: Otras preguntas | PREGUNTA: Cómo obtengo mi membresía o suscripción al estacionamiento de bicicletas o ""bici hub"" MUT | RESPUESTA: Debes acercarte al estacionamiento de bicicletas o bici hub de MUT, ubicado en el piso -1 al fondo y suscribirte con el personal de recepción del bici hub.";Otras preguntas;10 Otras preguntas
