titulo,content,link,rss,horario,web,url_web,lugar,nivel,local,telefono,mail,tipo,texto_embedding,document_type,search_category
Bibimpop,"¿Qué es Bibimpop?..Bibimpop es una propuesta de cocina tradicional y fusión coreana, inspirada en el vibrante street food de Corea del Sur. Su plato principal, el bibimbap, es la base para que cada persona cree su propio bowl, eligiendo arroz, proteínas, vegetales, toppings y salsas como el gochujang picante. Más que un restaurante, Bibimpop busca acercar la cultura coreana de forma fresca, flexible y personalizada..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Oriental.",https://mut.cl/restaurante/bibimpop/,https://www.instagram.com/bibimpop.cl/?hl=es; https://www.facebook.com/people/Bibimpopcl/100093809945064/?_rdr; https://www.tiktok.com/@bibimpop.cl,L-S: 12:00 - 20:30 D: 12:00 - 20:00,www.bibimpop.cl,http://www.BIBIMPOP.CL,Nivel -2,,,,,Restaurante,"COCINA: Restaurante | RESTAURANTE: Bibimpop | ¿Qué es Bibimpop?..Bibimpop es una propuesta de cocina tradicional y fusión coreana, inspirada en el vibrante street food de Corea del Sur. Su plato principal, el bibimbap, es la base para que cada persona cree su propio bowl, eligiendo arroz, proteínas, vegetales, toppings y salsas como el gochujang picante. Más que un restaurante, Bibimpop busca acercar la cultura coreana de forma fresca, flexible y personalizada..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Oriental. | UBICACION: Nivel -2 | HORARIO: L-S: 12:00 - 20:30 D: 12:00 - 20:00 | CONTACTO: Web: www.bibimpop.cl",restaurante,gastronomia
Sama,"¿Qué es Sama?..En Sama hacemos empanadas horneadas de autor, con recetas de la ganadora de Masterchef Chile, Camila Ruiz y una innovadora propuesta de masas de colores hechas con ingredientes naturales. Queremos traerle color a tu mesa con un mensaje de alegría, identidad y contraste que representa a Latinoamérica. Tenemos 12 empanadas entre dulces y saladas, inspiradas en platos clásicos latinoamericanos y con detalle de los macronutrientes de cada una (carbohidratos, grasa y proteínas). Combínalas con nuestras salsas y en su versión individual o caja de 6-12 para compartir con amigos o familia. Tenemos opciones para todos: veganas, como setas ahumadas o curry de zapallito; carnívoras, como lomo saltado o pollo a la huancaína; y vegetarianas, como el chupe de palmitos, que es una de las favoritas del público..Te podría interesar..#ffffff.0Cocinería.Empanadas.",https://mut.cl/restaurante/sama/,https://www.instagram.com/sama_cl/,L-D: 10:00 - 20:00,www.samafoods.cl,https://www.samafoods.cl/,Nivel -2,-2,2053,,,Restaurante,"COCINA: Restaurante | RESTAURANTE: Sama | ¿Qué es Sama?..En Sama hacemos empanadas horneadas de autor, con recetas de la ganadora de Masterchef Chile, Camila Ruiz y una innovadora propuesta de masas de colores hechas con ingredientes naturales. Queremos traerle color a tu mesa con un mensaje de alegría, identidad y contraste que representa a Latinoamérica. Tenemos 12 empanadas entre dulces y saladas, inspiradas en platos clásicos latinoamericanos y con detalle de los macronutrientes de cada una (carbohidratos, grasa y proteínas). Combínalas con nuestras salsas y en su versión individual o caja de 6-12 para compartir con amigos o familia. Tenemos opciones para todos: veganas, como setas ahumadas o curry de zapallito; carnívor | UBICACION: Nivel -2 - Nivel -2 - Local 2053 | HORARIO: L-D: 10:00 - 20:00 | CONTACTO: Web: www.samafoods.cl",restaurante,gastronomia
Mr POP,"¿Qué es Mr POP?..En MR POP convertimos el popcorn en un pequeño lujo cotidiano. Nuestros 15 sabores artesanales -cuidadosamente elaborados a mano- ofrecen un recorrido sensorial que va de lo clásico a lo inesperado, siempre con la textura crujiente y el frescor que solo un producto hecho con dedicación puede garantizar. Cada bolsa encierra una invitación al placer simple, ideal para acompañar una noche de cine, una conversación extendida o ese instante donde el antojo pide algo más que lo habitual. Y como sabemos que elegir solo uno es difícil, te invitamos a degustarlos gratuitamente, de lunes a domingo, para que descubras cuál será tu próximo favorito. MR POP, el mejor popcorn gourmet para tus panoramas de película.Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Dulcería.Dulces.",https://mut.cl/restaurante/mr-pop/,https://www.instagram.com/mrpopchile,L-S: 10:30 - 19:30 D & F: 10:30 - 19:30,www.misterpop.cl,https://www.misterpop.cl/,,,,,,Restaurante,"COCINA: Restaurante | RESTAURANTE: Mr POP | ¿Qué es Mr POP?..En MR POP convertimos el popcorn en un pequeño lujo cotidiano. Nuestros 15 sabores artesanales -cuidadosamente elaborados a mano- ofrecen un recorrido sensorial que va de lo clásico a lo inesperado, siempre con la textura crujiente y el frescor que solo un producto hecho con dedicación puede garantizar. Cada bolsa encierra una invitación al placer simple, ideal para acompañar una noche de cine, una conversación extendida o ese instante donde el antojo pide algo más que lo habitual. Y como sabemos que elegir solo uno es difícil, te invitamos a degustarlos gratuitamente, de lunes a domingo, para que descubras cuál será tu próximo favorito. MR POP, el mejor popcorn  | HORARIO: L-S: 10:30 - 19:30 D & F: 10:30 - 19:30 | CONTACTO: Web: www.misterpop.cl",restaurante,gastronomia
Gastronautas,"¿Qué es Gastronautas?..Gastronautas es un viaje seguro a la cultura gastronómica y a sabores reales. Su carta ofrece preparaciones dinámicas, dulces y saladas, elaboradas con ingredientes auténticos, amor y genialidad..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Cocinería.Repostería.",https://mut.cl/restaurante/gastronautas/,https://www.instagram.com/gastronautas.cl/,L-D: 11:30 - 20:00,,,Nivel -2,,,,,Restaurante,"COCINA: Restaurante | RESTAURANTE: Gastronautas | ¿Qué es Gastronautas?..Gastronautas es un viaje seguro a la cultura gastronómica y a sabores reales. Su carta ofrece preparaciones dinámicas, dulces y saladas, elaboradas con ingredientes auténticos, amor y genialidad..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Cocinería.Repostería. | UBICACION: Nivel -2 | HORARIO: L-D: 11:30 - 20:00",restaurante,gastronomia
Je Suis Raclette,"¿Qué es Je Suis Raclette?..JSR brinda una propuesta gastronómica qué fusiona esté plato tan apreciado en Suiza, Francia e Italia, con los sabores sudamericanos tradicionales cómo las mejores carnes de res y cerdo, variedad de vegetales, panes de masa madre y el mejor queso suizo. Todos estos ingredientes son cuidadosamente seleccionados para garantizar a nuestros clientes platos elaborados con los productos de la más alta calidad..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Restaurante.",https://mut.cl/restaurante/je-suis-raclette/,https://www.instagram.com/jesuisraclette?igsh=MWU3MTEyZjJha2lkYw%3D%3D&,L-D: 12:00 - 20:00,,,Nivel -2,,,,,Restaurante,"COCINA: Restaurante | RESTAURANTE: Je Suis Raclette | ¿Qué es Je Suis Raclette?..JSR brinda una propuesta gastronómica qué fusiona esté plato tan apreciado en Suiza, Francia e Italia, con los sabores sudamericanos tradicionales cómo las mejores carnes de res y cerdo, variedad de vegetales, panes de masa madre y el mejor queso suizo. Todos estos ingredientes son cuidadosamente seleccionados para garantizar a nuestros clientes platos elaborados con los productos de la más alta calidad..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Restaurante. | UBICACION: Nivel -2 | HORARIO: L-D: 12:00 - 20:00",restaurante,gastronomia
Crudo Sin Censura,"¿Qué es Crudo Sin Censura?..Con más de 10 años de existencia Crudo Sin Censura es el primer delivery de Crudo en Chile. Con 2 locales desde los que despachan a todo Santiago, son especialistas en preparaciones crudas. Hoy llegan al MUT con su plato estrella en un formato para consumir en el lugar o al paso para quienes transiten el metro y el Mercado..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Restaurante.",https://mut.cl/restaurante/crudo-y-sin-censura/,https://www.instagram.com/crudosincensura,L-D: 12:00 - 20:00,,,Nivel -2,,,,,Restaurante,"COCINA: Restaurante | RESTAURANTE: Crudo Sin Censura | ¿Qué es Crudo Sin Censura?..Con más de 10 años de existencia Crudo Sin Censura es el primer delivery de Crudo en Chile. Con 2 locales desde los que despachan a todo Santiago, son especialistas en preparaciones crudas. Hoy llegan al MUT con su plato estrella en un formato para consumir en el lugar o al paso para quienes transiten el metro y el Mercado..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Restaurante. | UBICACION: Nivel -2 | HORARIO: L-D: 12:00 - 20:00",restaurante,gastronomia
Vique Club,"¿Qué es Vique Club?..Club de vinos de autor de Chile, el más choriflai! Es una suscripción mensual que no te amarra, eliges el plan que más se parezca a ti y te llegará la Box más macanua todos los meses a la puerta de tu casa, con una selección de vinos topisimos que cambian mes a mes, junto a una explicación aterrizada de nuestros sommeliers! Al ser socios tienes los tremendos beneficios (20% kiosko permanenete + 25% catas experimentales), si eres fanático del vino, te invitamos a ser parte del club y conocer este patrimonio vitivinicola escondido en Chile!&#8230;pa ́chuparse los bigotes! .Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Vinos.",https://mut.cl/restaurante/vique-club/,https://www.instagram.com/viqueclub/,L-D: 10:00 - 20:00,,,Nivel -2,,,,,Restaurante,"COCINA: Restaurante | RESTAURANTE: Vique Club | ¿Qué es Vique Club?..Club de vinos de autor de Chile, el más choriflai! Es una suscripción mensual que no te amarra, eliges el plan que más se parezca a ti y te llegará la Box más macanua todos los meses a la puerta de tu casa, con una selección de vinos topisimos que cambian mes a mes, junto a una explicación aterrizada de nuestros sommeliers! Al ser socios tienes los tremendos beneficios (20% kiosko permanenete + 25% catas experimentales), si eres fanático del vino, te invitamos a ser parte del club y conocer este patrimonio vitivinicola escondido en Chile!&#8230;pa ́chuparse los bigotes! .Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Vin | UBICACION: Nivel -2 | HORARIO: L-D: 10:00 - 20:00",restaurante,gastronomia
Ambrosía Bistro,"¿Qué es Ambrosía Bistro?..Ambrosía Bistro es un restaurante dirigido por la chef Carolina Bazán y la sommelier Rosario Onetto. Destacado nacional e internacionalmente por su creatividad culinaria y el uso de ingredientes frescos y locales, así como una cuidada selección de vinos, ofrece una experiencia gastronómica excepcional en un ambiente casual. Bienvenidos a la Bistronomia..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Restaurante.",https://mut.cl/restaurante/ambrosia-bistro/,https://www.instagram.com/bistro_ambrosia/,Lunes a sábado 12:30 a 23:00 hrs (última reserva a las 22:00) | Domingo 10:00 a 16:30 hrs (última reserva 14:30),,,Nivel 4,,,,,Restaurante,"COCINA: Restaurante | RESTAURANTE: Ambrosía Bistro | ¿Qué es Ambrosía Bistro?..Ambrosía Bistro es un restaurante dirigido por la chef Carolina Bazán y la sommelier Rosario Onetto. Destacado nacional e internacionalmente por su creatividad culinaria y el uso de ingredientes frescos y locales, así como una cuidada selección de vinos, ofrece una experiencia gastronómica excepcional en un ambiente casual. Bienvenidos a la Bistronomia..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Restaurante. | UBICACION: Nivel 4 | HORARIO: Lunes a sábado 12:30 a 23:00 hrs (última reserva a las 22:00) | Domingo 10:00 a 16:30 hrs (última reserva 14:30)",restaurante,gastronomia
Macarons Riches,"¿Qué es Macarons Riches?..¡Traemos un pedacito de Francia a tu boca! Aquí podrás encontrar una gran variedad de sabores y colores de esta deliciosa galleta tradicional francesa, el macarons..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Dulcería.",https://mut.cl/restaurante/macarons-riches/,https://www.instagram.com/macaronsriches/,L-D: 11:00 - 20:00,,,Nivel -2,,,,,Restaurante,"COCINA: Restaurante | RESTAURANTE: Macarons Riches | ¿Qué es Macarons Riches?..¡Traemos un pedacito de Francia a tu boca! Aquí podrás encontrar una gran variedad de sabores y colores de esta deliciosa galleta tradicional francesa, el macarons..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Dulcería. | UBICACION: Nivel -2 | HORARIO: L-D: 11:00 - 20:00",restaurante,gastronomia
Loca Pasta,"¿Qué es Loca Pasta?..Mucho más que un simple plato de pasta. Es una oda a la cocina italiana tradicional, elaborada con ingredientes frescos y de la más alta calidad. Un homenaje a la pasión y la dedicación de quienes han perfeccionado esta receta durante generaciones.Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Pasta.",https://mut.cl/restaurante/loca-pasta/,https://www.instagram.com/locapastacl/,L-D: 10:00 - 21:00,,,Nivel -2,Nivel -2,,,,Restaurante,"COCINA: Restaurante | RESTAURANTE: Loca Pasta | ¿Qué es Loca Pasta?..Mucho más que un simple plato de pasta. Es una oda a la cocina italiana tradicional, elaborada con ingredientes frescos y de la más alta calidad. Un homenaje a la pasión y la dedicación de quienes han perfeccionado esta receta durante generaciones.Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Pasta. | UBICACION: Nivel -2 - Nivel Nivel -2 | HORARIO: L-D: 10:00 - 21:00",restaurante,gastronomia
Toni Lautaro,"¿Qué es Toni Lautaro?..Piczas, Fuego y Antonipasti. 99% Chileno 1% Napolitano.Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Restaurante.",https://mut.cl/restaurante/toni-lautaro/,https://www.instagram.com/toni_lautaro/?hl=es,L-D: 13:00 - 23:00,,,Nivel 4,,,,,Restaurante,"COCINA: Restaurante | RESTAURANTE: Toni Lautaro | ¿Qué es Toni Lautaro?..Piczas, Fuego y Antonipasti. 99% Chileno 1% Napolitano.Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Restaurante. | UBICACION: Nivel 4 | HORARIO: L-D: 13:00 - 23:00",restaurante,gastronomia
Stgo Cheesemongers,"¿Qué es Stgo Cheesemongers?..Stgo Cheesemongers es un paraíso para los amantes del queso. Con una selección impresionante de quesos artesanales locales e internacionales, además de sándwiches innovadores y degustaciones, ofrece una experiencia gastronómica única. Es una visita obligada para cualquier aficionado al queso..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Quesería.",https://mut.cl/restaurante/stgo-cheesemongers/,https://www.instagram.com/stgo_cheesemongers/; https://www.facebook.com/profile.php?id=61557648727965,L-D: 10:00 - 20:00,,,Nivel -2,,,,,Restaurante,"COCINA: Restaurante | RESTAURANTE: Stgo Cheesemongers | ¿Qué es Stgo Cheesemongers?..Stgo Cheesemongers es un paraíso para los amantes del queso. Con una selección impresionante de quesos artesanales locales e internacionales, además de sándwiches innovadores y degustaciones, ofrece una experiencia gastronómica única. Es una visita obligada para cualquier aficionado al queso..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Quesería. | UBICACION: Nivel -2 | HORARIO: L-D: 10:00 - 20:00",restaurante,gastronomia
Castaño,"¿Qué es Castaño?..En Castaño estamos comprometidos con ofrecer productos muy ricos y accesibles, con un gran servicio, para mejorar el día a día de las personas. El secreto de nuestra receta es el compromiso cotidiano de nuestros colaboradores que trabajan con dedicación y cariño..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Panadería.",https://mut.cl/restaurante/castano/,https://www.instagram.com/castano_chile/; https://www.facebook.com/p/Casta%C3%B1o-100067331229596/?paipv=0&eav=Afa3RGN0xY7Njvcr13nY_tVuc6YpjGn5rc6TuNdAYpmCbkSOZm849Dt0JHjlgT1l9HI&_rdr,L-D: 08:00 - 20:00,,,Nivel -3,,,,,Restaurante,"COCINA: Restaurante | RESTAURANTE: Castaño | ¿Qué es Castaño?..En Castaño estamos comprometidos con ofrecer productos muy ricos y accesibles, con un gran servicio, para mejorar el día a día de las personas. El secreto de nuestra receta es el compromiso cotidiano de nuestros colaboradores que trabajan con dedicación y cariño..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Panadería. | UBICACION: Nivel -3 | HORARIO: L-D: 08:00 - 20:00",restaurante,gastronomia
