titulo,content,link,rss,horario,web,url_web,lugar,nivel,local,telefono,mail,tipo
Bibimpop,"¿Qué es Bibimpop?..Bibimpop es una propuesta de cocina tradicional y fusión coreana, inspirada en el vibrante street food de Corea del Sur. Su plato principal, el bibimbap, es la base para que cada persona cree su propio bowl, eligiendo arroz, proteínas, vegetales, toppings y salsas como el gochujang picante.  Más que un restaurante, Bibimpop busca acercar la cultura coreana de forma fresca, flexible y personalizada..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Oriental.</p>
",https://mut.cl/restaurante/bibimpop/,https://www.instagram.com/bibimpop.cl/?hl=es; https://www.facebook.com/people/Bibimpopcl/100093809945064/?_rdr; https://www.tiktok.com/@bibimpop.cl,L-S: 12:00 - 20:30  D: 12:00 - 20:00,www.bibimpop.cl,http://www.BIBIMPOP.CL,Nivel -2  ,,,,,Restaurante
Sama,"¿Qué es Sama?..En Sama hacemos empanadas horneadas de autor, con recetas de la ganadora de Masterchef Chile, Camila Ruiz y una innovadora propuesta de masas de colores hechas con ingredientes naturales. Queremos traerle color a tu mesa con un mensaje de alegría, identidad y contraste que representa a Latinoamérica.  Tenemos 12 empanadas entre dulces y saladas, inspiradas en platos clásicos latinoamericanos y con detalle de los macronutrientes de cada una (carbohidratos, grasa y proteínas). Combínalas con nuestras salsas y en su versión individual o caja de 6-12 para compartir con amigos o familia. Tenemos opciones para todos: veganas, como setas ahumadas o curry de zapallito; carnívoras, como lomo saltado o pollo a la huancaína; y vegetarianas, como el chupe de palmitos, que es una de las favoritas del público..Te podría interesar..#ffffff.0Cocinería.Empanadas.</p>
",https://mut.cl/restaurante/sama/,https://www.instagram.com/sama_cl/,L-D: 10:00 - 20:00,www.samafoods.cl,https://www.samafoods.cl/,Nivel -2 ,-2,2053,,,Restaurante
Mr POP,"¿Qué es Mr POP?..En MR POP convertimos el popcorn en un pequeño lujo cotidiano. Nuestros 15 sabores artesanales -cuidadosamente elaborados a mano- ofrecen un recorrido sensorial que va de lo clásico a lo inesperado, siempre con la textura crujiente y el frescor que solo un producto hecho con dedicación puede garantizar. Cada bolsa encierra una invitación al placer simple, ideal para acompañar una noche de cine, una conversación extendida o ese instante donde el antojo pide algo más que lo habitual. Y como sabemos que elegir solo uno es difícil, te invitamos a degustarlos gratuitamente, de lunes a domingo, para que descubras cuál será tu próximo favorito. MR POP, el mejor popcorn gourmet para tus panoramas de película.Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Dulcería.Dulces.</p>
",https://mut.cl/restaurante/mr-pop/,https://www.instagram.com/mrpopchile,L-S: 10:30 - 19:30 D & F: 10:30 - 19:30,www.misterpop.cl,https://www.misterpop.cl/,,,,,,Restaurante
Gastronautas,"¿Qué es Gastronautas?..Gastronautas es un viaje seguro a la cultura gastronómica y a sabores reales. Su carta ofrece preparaciones dinámicas, dulces y saladas, elaboradas con ingredientes auténticos, amor y genialidad..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Cocinería.Repostería.</p>
",https://mut.cl/restaurante/gastronautas/,https://www.instagram.com/gastronautas.cl/,L-D: 11:30 - 20:00,,,Nivel -2,,,,,Restaurante
Je Suis Raclette,"¿Qué es Je Suis Raclette?..JSR brinda una propuesta gastronómica qué fusiona esté plato tan apreciado en Suiza, Francia e Italia, con los sabores sudamericanos tradicionales cómo las mejores carnes de res y cerdo, variedad de vegetales, panes de masa madre y el mejor queso suizo. Todos estos ingredientes son cuidadosamente seleccionados para garantizar a nuestros clientes platos elaborados con los productos de la más alta calidad..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Restaurante.</p>
",https://mut.cl/restaurante/je-suis-raclette/,https://www.instagram.com/jesuisraclette?igsh=MWU3MTEyZjJha2lkYw%3D%3D&,L-D: 12:00 - 20:00,,,Nivel -2,,,,,Restaurante
Crudo Sin Censura,"¿Qué es Crudo Sin Censura?..Con más de 10 años de existencia Crudo Sin Censura es  el primer delivery de Crudo en Chile. Con 2 locales desde los que despachan a todo Santiago, son especialistas en preparaciones crudas. Hoy llegan al MUT con su plato estrella en un formato para consumir en el lugar o al paso para quienes transiten el metro y el Mercado..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Restaurante.</p>
",https://mut.cl/restaurante/crudo-y-sin-censura/,https://www.instagram.com/crudosincensura,L-D: 12:00 - 20:00,,,Nivel -2,,,,,Restaurante
Vique Club,"¿Qué es Vique Club?..Club de vinos de autor de Chile, el más choriflai! Es una suscripción mensual que no te amarra, eliges el plan que más se parezca a ti y te llegará la Box más macanua todos los meses a la puerta de tu casa, con una selección de vinos topisimos que cambian mes a mes, junto a una explicación aterrizada de nuestros sommeliers! Al ser socios tienes los tremendos beneficios (20% kiosko permanenete + 25% catas experimentales), si eres fanático del vino, te invitamos a ser parte del club y conocer este patrimonio vitivinicola escondido en Chile!&#8230;pa´chuparse los bigotes! .Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Vinos.</p>
",https://mut.cl/restaurante/vique-club/,https://www.instagram.com/viqueclub/,L-D: 10:00 - 20:00,,,Nivel -2,,,,,Restaurante
Ambrosía Bistro,"¿Qué es Ambrosía Bistro?..Ambrosía Bistro es un restaurante dirigido por la chef Carolina Bazán y la sommelier Rosario Onetto. Destacado nacional e internacionalmente por su creatividad culinaria y el uso de ingredientes frescos y locales, así como una cuidada selección de vinos, ofrece una experiencia gastronómica excepcional en un ambiente casual. Bienvenidos a la Bistronomia..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Restaurante.</p>
",https://mut.cl/restaurante/ambrosia-bistro/,https://www.instagram.com/bistro_ambrosia/,Lunes a sábado 12:30 a 23:00 hrs (última reserva a las 22:00)      |       Domingo 10:00 a 16:30 hrs (última reserva 14:30) ,,,Nivel 4,,,,,Restaurante
Macarons Riches,"¿Qué es Macarons Riches?..¡Traemos un pedacito de Francia a tu boca! Aquí podrás encontrar una gran variedad de sabores y colores de esta deliciosa galleta tradicional francesa, el macarons..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Dulcería.</p>
",https://mut.cl/restaurante/macarons-riches/,https://www.instagram.com/macaronsriches/,L-D: 11:00 - 20:00 ,,,Nivel -2,,,,,Restaurante
Loca Pasta,"¿Qué es Loca Pasta?..Mucho más que un simple plato de pasta. Es una oda a la cocina italiana tradicional, elaborada con ingredientes frescos y de la más alta calidad. Un homenaje a la pasión y la dedicación de quienes han perfeccionado esta receta durante generaciones.Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Pasta.</p>
",https://mut.cl/restaurante/loca-pasta/,https://www.instagram.com/locapastacl/,L-D: 10:00 - 21:00 ,,,Nivel -2,Nivel -2,,,,Restaurante
Toni Lautaro,"¿Qué es Toni Lautaro?..Piczas, Fuego y Antonipasti. 99% Chileno 1% Napolitano.Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Restaurante.</p>
",https://mut.cl/restaurante/toni-lautaro/,https://www.instagram.com/toni_lautaro/?hl=es,L-D: 13:00 - 23:00,,,Nivel 4,,,,,Restaurante
Stgo Cheesemongers,"¿Qué es Stgo Cheesemongers?..Stgo Cheesemongers es un paraíso para los amantes del queso. Con una selección impresionante de quesos artesanales locales e internacionales, además de sándwiches innovadores y degustaciones, ofrece una experiencia gastronómica única. Es una visita obligada para cualquier aficionado al queso..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Quesería.</p>
",https://mut.cl/restaurante/stgo-cheesemongers/,https://www.instagram.com/stgo_cheesemongers/; https://www.facebook.com/profile.php?id=61557648727965,L-D: 10:00 - 20:00,,,Nivel -2,,,,,Restaurante
Castaño,"¿Qué es Castaño?..En Castaño estamos comprometidos con ofrecer productos muy ricos y accesibles, con un gran servicio, para mejorar el día a día de las personas. El secreto de nuestra receta es el compromiso cotidiano de nuestros colaboradores que trabajan con dedicación y cariño..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Panadería.</p>
",https://mut.cl/restaurante/castano/,https://www.instagram.com/castano_chile/; https://www.facebook.com/p/Casta%C3%B1o-100067331229596/?paipv=0&eav=Afa3RGN0xY7Njvcr13nY_tVuc6YpjGn5rc6TuNdAYpmCbkSOZm849Dt0JHjlgT1l9HI&_rdr,L-D: 08:00 - 20:00,,,Nivel -3,,,,,Restaurante
Rebelde Bakery &#038; Coffee,"¿Qué es Rebelde Bakery &#038; Coffee?..Inspirado en la pasión por la autenticidad y el deseo de desafiar lo convencional, REBELDE no es solo un lugar para satisfacer los antojos de café, panes recién horneados y sabores originales, sino también un punto de encuentro para la comunidad que valora la creatividad, la cocina honesta y el buen ambiente..Te podría interesar..#ffffff.0Cafetería.</p>
",https://mut.cl/restaurante/rebelde/,https://www.instagram.com/rebelde.bakery?igsh=MWE0MmxlNWFsajJrOA%3D%3D&utm_source=qr,L-D: 10:00 - 20:00,,,Nivel 3,,,,,Restaurante
Feröz,"¿Qué es Feröz?..Chocolatería inspirada en sus orígenes suizos, fundada por dos hermanos que buscan generar la mejor experiencia para los fanáticos del chocolate..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Chocolates.</p>
",https://mut.cl/restaurante/feroz/,https://www.instagram.com/ferozchocolates/; https://www.facebook.com/ferozchocolates/,L-D: 10:00 - 20:00,,,Nivel -3,-3,,,,Restaurante
Tip Top Galletas,"¿Qué es Tip Top?..Tip-Top es la galleta de Chile. Durante 40 años ha endulzado los hogares de chilenas y chilenos, con su exquisito sabor e inconfundible aroma de galletas recién horneadas.Ofrece una amplia variedad de galletas, que se dividen en tres categorías: clásicas, rellenas y bañadas, las cuales aún conservan la tradición de sus recetas y técnicas de horneo..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Galletería.</p>
",https://mut.cl/restaurante/tip-top-galletas/,https://www.instagram.com/galletastiptop/; https://www.facebook.com/Galletastiptop,L-S: 10:00 - 20:00 D & F: 10:00 - 19:00,,,Nivel -3,-3,,,,Restaurante
La Fête Chocolat,"¿Qué es La Fête Chocolat?..La Fête Chocolat nace para difundir alegría a través de los mejores chocolates del mundo. Impulsados por una obsesión por la calidad, viajan por las regiones cacaoteras más destacadas del mundo en busca de los mejores ingredientes naturales. Su enfoque innovador y creativo se refleja en cada bombón, galleta y chocolate, cuidando cada detalle, desde la selección de ingredientes hasta el diseño final. Chocolates de cacao trazable con envases aptos para ser reciclados. En esta tienda de La Fête también puedes encontrar una exclusiva cafetería con distintas opciones para llevar..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Cafetería.Chocolates.</p>
",https://mut.cl/restaurante/la-fete/,https://www.instagram.com/lafetechocolat/?hl=es; https://www.facebook.com/lafetechocolat/?locale=es_LA,L-D: 10:00 - 20:00,www.lafetechocolat.com,https://cl.lafetechocolat.com/,Nivel 1,1,,,,Restaurante
Starburcks,"¿Qué es Starbucks?..En Starbucks están comprometidos con la conexión con las personas. Se aseguran de que todo lo que hacen respete esa conexión, desde el compromiso con el café de la mejor calidad hasta la forma en que se relacionan con sus clientes y comunidades para hacer negocios de manera responsable..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Cafetería.</p>
",https://mut.cl/restaurante/starburcks/,https://www.instagram.com/starbucksathome_cl_/?hl=en; https://www.facebook.com/StarbucksAtHomeCL/,L-S: 10:00 - 20:00 D & F: 10:00 - 19:00,,,Nivel 2,2,,,,Restaurante
Freddo,"¿Qué es Freddo?..Freddo es una heladería que tiene más de 50 años de historia, que nace en argentina y sus helados se destacan por la tradición italiana y pasión por la calidad. Todos sus helados usan leche fresca, frutas de primera selección y el mejor dulce leche artesanal..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Heladería.</p>
",https://mut.cl/restaurante/freddo/,https://www.instagram.com/freddo_chile/; https://www.facebook.com/FreddoChile,L-S: 10:00 - 20:00 D & F: 10:00 - 19:00,,,Nivel -3,-3,,,,Restaurante
Yasai,"¿Qué es Yasai?..Sushi vegano nikkei. “Yasai&#8221; significa vegetal en japonés, y va completamente ligado con los cambios que buscamos generar en la alimentación y conciencia de nuestra sociedad. Buscan hacer de la cocina vegana algo novedoso y versatil, incorporando nuevas propuestas constantemente..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..PróximamenteSushi.</p>
",https://mut.cl/restaurante/yasai/,https://www.instagram.com/yasaivegansushi/?hl=es-la,L-S: 10:00 - 20:00 D & F: 10:00 - 19:00,,,Nivel -3,-3,,,,Restaurante
Antigua Fuente,"¿Qué es Antigua Fuente?..Fuente de soda donde podrás encontrar más de 50 años de sabor en sandwich. Antigua Fuente trabaja día a día por mantener el patrimonio gastronómico de Santiago y la tradición familiar..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Sandwiches.</p>
",https://mut.cl/restaurante/antigua-fuente/,https://www.instagram.com/antiguafuente/?hl=es; https://www.facebook.com/MonumentoGastonomico/,L-S: 10:00 - 20:00 D & F: 10:00 - 19:00,,,Nivel -3,-3,,,,Restaurante
Pizzario,"¿Qué es Pizzario?..Pizzario nace con el sueño de reinventar la forma de hacer y comer pizza en Chile. La pizza al taglio, o pizza al corte, tiene raíces romanas y características que la hacen única. Se cocina en bandejas grandes y rectangulares, se cubre con toppings abundantes y ¡se corta con tijeras!.Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Pizza.</p>
",https://mut.cl/restaurante/pizzario/,https://www.instagram.com/pizzariochile/; https://www.facebook.com/pizzariochile/,L-S: 10:00 - 20:00 D & F: 10:00 - 19:00,,,Nivel -3,-3,,,,Restaurante
Mit Burger,"¿Qué es Mit Burger?..Smash Burgers caseras, que hasta el día de hoy trabajan de forma casera moliéndola todos los días. ¡Hamburguesas frescas y de calidad! .Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Hamburguesas.</p>
",https://mut.cl/restaurante/mit-burger/,https://www.instagram.com/mitburger/?hl=es; https://www.facebook.com/p/mitburger-100064597904953/,L-S: 10:00 - 20:00 D & F: 10:00 - 19:00,,,Nivel -3,-3,,,,Restaurante
Emporio Schwencke,"<p>Restaurante.Schwencke..¿Qué es Schwencke?..Auténtico sabor del sur. Fabrican embutidos y carnes con recetas tradicionales alemanas desde 1950..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Sandwiches.</p>
",https://mut.cl/restaurante/schwencke/,https://www.instagram.com/cecinasschwencke/; https://www.facebook.com/Cecinas.Schwencke.Valdivia/?locale=es_LA,,,,Nivel -2,-2,,,,Restaurante
Embarcadero 41,"¿Qué es Embarcadero 41?..Lo mejor de la comida peruana, con sus sabores auténticos, productos frescos y de calidad..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Restaurante.</p>
",https://mut.cl/restaurante/embarcadero-41/,https://www.instagram.com/embarcadero41_chile/; https://www.facebook.com/profile.php?id=61557191317356,L-Mier: 12:00 - 21:30;  J-S: 12:00 - 23:30; D: 12:00 a 20:00,,,Nivel -2,-2,,,,Restaurante
Chicken International,"<p>Restaurante.Chicken International..¿Qué es Chicken International?..Chicken International es un #ReChickenLovers que busca entregar cultura y experiencias únicas a través de los diferentes sabores y preparaciones de cocinas al rededor de todo el muno en torno al pollo..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Restaurante.</p>
",https://mut.cl/restaurante/chiken-international/,https://www.instagram.com/chicken.international/; https://www.facebook.com/chickeninternational/?locale=es_LA,L-S: 10:00 - 20:00 D & F: 10:00 - 19:00,,,Nivel -2,-2,,,,Restaurante
Arigato,"<p>Restaurante.Arigato..¿Qué es Arigato?..Arigato es una experiencia única dónde la frescura japonesa se fusiona con la creatividad y el sabor peruano. ¡Una combinación de sazón, chispeza y color!.Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Cocinería.Japonesa.</p>
",https://mut.cl/restaurante/arigato/,https://www.instagram.com/arigato_chile/,L-S: 10:00 - 20:00 D & F: 10:00 - 19:00,,,Nivel -2,-2,,,,Restaurante
Savoia,"¿Qué es Savoia?..Savoia es una pizzería inspirada en la reina Margherita y en la emblemática pizza napoletana que lleva su nombre. Con raíces italianas familiares bien arraigadas, reflejamos esa identidad con pizzas hechas con ingredientes italianos y chilenos de calidad. Una experiencia auténtica, simple y deliciosa, honrando la historia, la cultura y el sabor mediterráneo..Te podría interesar..#ffffff.0Pizza.</p>
",https://mut.cl/restaurante/savoia/,https://www.instagram.com/savoia.cl/,L-S: 10:00 - 21:00,www.savoia.cl,http://www.savoia.cl,Nivel -2,,,,,Restaurante
Cháwu,"¿Qué es Cháwu?..Es una barra de té chino, con diferentes variedades de té como el té verde, rojo, y el popular matcha. Todas son traídas desde China, y además, están en diferentes formatos como Cheese Tea, Bubble Tea y Smoothie..Te podría interesar..#ffffff.0Té.</p>
",https://mut.cl/restaurante/chawu/,https://www.instagram.com/chawu.chile/?ref=6OzK6nc4&hl=am-et,L-S: 10:00 - 20:00 D & F: 10:00 - 19:00,,,Nivel -2,,,,,Restaurante
Pan León,"¿Qué es Pan León?..Todos sus panes son creados con la tradición de la panadería artesanal Chilena, utilizando la mejores harinas y complementos, lo que hace que su marraqueta sea una de las mejores de Santiago. Buscan mantener la tradición de la bollería clásica, así como las nuevas tendencias que han ido llegando a Chile, lo que se complementa con pasteles y tortas..Te podría interesar..#ffffff.0Panadería.</p>
",https://mut.cl/restaurante/pan-leon/,https://es-la.facebook.com/panleonchile/; https://www.instagram.com/panaderia_leon/?hl=es,L-S: 7:30 - 20:00 D & F: 10:00 - 19:00,,,Nivel -2 ,-2,2053,,,Restaurante
Jo Pastelería,"¿Qué es Jo Pastelería?..Jo Pastelería es una pastelería gourmet que ofrece diferentes opciones de preparaciones dulces, para todo tipo de antojos y para que disfrutes caer en la tentación..Te podría interesar..#ffffff.0&#8230;Repostería.</p>
",https://mut.cl/restaurante/pasteleria-jo/,https://www.instagram.com/jo.pasteleria/,L-S: 10:00 - 20:00 D & F: 10:00 - 19:00,,,Nivel -3,,,,,Restaurante
Hojas de Cami,"¿Qué es Hojas de Cami?..Hojas de Cami es un proyecto familiar que ofrece productos sencillos, auténticos y deliciosos que nos conectan con algo muy poderoso: compartir cariño con quienes mas queremos, porque la vida es más vida cuando nos encontramos..Te podría interesar..#ffffff.0Repostería.</p>
",https://mut.cl/restaurante/hojas-de-cami-2/,https://www.facebook.com/hojasdecami.cl; https://www.instagram.com/hojasdecami.cl/,L-S: 10:00 - 20:00 D & F: 10:00 - 19:00,,,Nivel -2 ,-2,2053,,,Restaurante
Entrelagos,"¿Qué es Chocolatería Entrelagos?..Con más de cien artesanos, quienes, día a día se inspiran entorno al Santuario de la Naturaleza de la ciudad de Valdivia, elaboran con amor sus chocolates y mazapanes de origen para la familia chilena..Te podría interesar..#ffffff.0Chocolates.</p>
",https://mut.cl/restaurante/entrelagos/,https://www.facebook.com/entrelagoschocolateria/; https://www.instagram.com/entrelagos_chocolateria/?hl=es,L-D: 10:00 - 20:00 ,,,Nivel -2,,,,,Restaurante
Juan Valdez,"¿Qué es Juan Valdes Café?..Son una empresa de origen colombiano. Comparten su conocimiento del café premium desde el origen hasta la taza perfecta..Te podría interesar..#ffffff.0Cafetería.</p>
",https://mut.cl/restaurante/juan-valdez/,https://www.facebook.com/JuanValdezCafeChile/?locale=es_LA; https://www.instagram.com/juanvaldezcafechile/?hl=es,L-V: 7:30 - 20:00 S-D& F: 8:30 - 20:00,,,Nivel -3,,,,,Restaurante
Barra Fundición,"¿Qué es Barra Fundición?..Barra Fundición es un café de especialidad con una cuidada selección de productos artesanales. Descubre una fusión única de sabores en un ambiente acogedor donde el café se une a quesos, charcutería y más, para una experiencia culinaria local e inigualable..Te podría interesar..#ffffff.0Cafetería.</p>
",https://mut.cl/restaurante/barra-fundicion/,https://www.facebook.com/barra.fundicion.1/; https://www.instagram.com/barra.fundicion/,L-S: 10:00 - 20:00 D & F: 10:00 - 19:00,,,Nivel 1,,,,,Restaurante
Juguería Peruana,"<p>Restaurante.Juguería Peruana..¿Qué es Juguería Peruana? ..Las juguerías son típicas de los mercados en cada pueblo en Perú, que recoge las tradiciones de sabor y colores. Sus ingredientes, aparte de las frutas frescas características del jugo, se combinan con maca, miel de algarrobina, cerveza negra, betarraga, entre otros..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Bebestibles.</p>
",https://mut.cl/restaurante/jugueria-peruana/,https://www.instagram.com/jugueria_peruana/,L-S: 10:00 - 20:00 D & F: 10:00 - 19:00,,,Nivel -2,-2,2064,,,Restaurante
Café Pascucci,"¿Qué es Café Pascucci?..Pascucci es una comunidad global unida por el amor al café. Van más allá del espresso, desafiando las normas comerciales para promover una cultura de calidad y conexión en cada taza. Desde los agricultores hasta los baristas, su enfoque rebelde busca un café excepcional y una experiencia sensorial compartida en todo el mundo..Te podría interesar..#ffffff.0Cafetería.</p>
",https://mut.cl/restaurante/cafe-pascucci-2/,https://www.instagram.com/pascucci.cl/?hl=es,L-S: 10:00 - 20:00 D & F: 10:00 - 19:00,,,Nivel 1,,,,,Restaurante
