titulo,content,link,rss,horario,web,url_web,lugar,nivel,local,telefono,mail,tipo
La María Dolores,"Quiénes somos.¿Qué es Adidas?.La tienda más grande de Adidas Originals en Chile. Celebrando la originalidad desde 1972. Remezclando el pasado. Creando el futuro..¿Qué es La María Dolores?..Los accesorios son ese algo que te ayudan a cambiarlo todo, que le dan un toque a tu presencia y que pueden hacerte inolvidable a ojos de quien tenga la suerte de conocerte.  Colores que hablan por si solos, texturas que antojan sentirlas y formas que roban miradas son y serán las características que siempre podrás encontrar en el joyero y clóset de la María Dolores.  Los límites no existen, atrévete, experimenta, y sigue siempre así: apasionada..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..#ffffff.0Accesorios.Tienda.</p>
",https://mut.cl/tiendas/la-maria-dolores/,https://www.instagram.com/la_mariadolores; https://www.tiktok.com/@la_mariadolores,L-S: 10:00 - 20:00,www.lamariadolores.cl,https://www.lamariadolores.cl/,Nivel -1 ,-1,,,,Tienda
Bendito,"Quiénes somos.¿Qué es Adidas?.La tienda más grande de Adidas Originals en Chile. Celebrando la originalidad desde 1972. Remezclando el pasado. Creando el futuro..¿Qué es Bendito?..Somos un equipo de personas tremendamente comprometidas con el amor por nuestras raíces y la flora, fauna y cultura chilena. Trabajamos con ilustradores especialistas en lo que hacen: naturalistas para retratar nuestro entorno natural, creadores de lettering, diseñadores y creativos que tienen a Chile en el corazón, con un amor por el patrimonio que los hace únicos..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..#ffffff.0Accesorios.Tienda.</p>
",https://mut.cl/tiendas/bendito/,https://www.instagram.com/benditocl/; https://www.facebook.com/Bendito.cl; https://www.tiktok.com/@benditocl,L-D: 10:00 - 21:00,www.bendito.cl,https://bendito.cl/,Nivel -1,-1,,,,Tienda
Tató,"Quiénes somos.¿Qué es Adidas?.La tienda más grande de Adidas Originals en Chile. Celebrando la originalidad desde 1972. Remezclando el pasado. Creando el futuro..¿Qué es Tató?..Descubre una elección inteligente para los pequeños de la casa. Nuestros zapatos no solo destacan por su diseño nacional, colorido y único, sino que también ofrecen beneficios fundamentales para la salud y el desarrollo de los pies de los bebés y niños..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..#ffffff.0Niños.Tienda.</p>
",https://mut.cl/tiendas/tato/,https://www.instagram.com/tatozapatos,L-D: 10:00 - 20:00,www.tato.cl,https://www.tato.cl/,Nivel -1 ,-1,,,,Tienda
Blundstone,"Quiénes somos.¿Qué es Adidas?.La tienda más grande de Adidas Originals en Chile. Celebrando la originalidad desde 1972. Remezclando el pasado. Creando el futuro..¿Qué es Blundstone?..Blundstone es el botín más versátil del mundo. Úsalo en la naturaleza o el campo, a la ciudad o la oficina..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..#ffffff.0Tienda.</p>
",https://mut.cl/tiendas/blundstone/,https://www.instagram.com/blundstonechile/,L-D: 10:00 - 20:00,www.huellaschile.com,https://www.huellaschile.com/brand/blundstone,Nivel -1,-1,,,,Tienda
Blends and Tea,"Quiénes somos.¿Qué es Adidas?.La tienda más grande de Adidas Originals en Chile. Celebrando la originalidad desde 1972. Remezclando el pasado. Creando el futuro..¿Qué es Blends and Tea?..Los mejores tés del mundo, más nuestra colección de colores, son todo lo que necesitas para dar energía y ánimo a tu día..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..#ffffff.0Tienda.</p>
",https://mut.cl/tiendas/blends-and-tea/,https://www.instagram.com/blendsandtea/; https://www.facebook.com/blends.and.tea,L-D: 10:00 - 20:00,www.blendsandtea.cl,https://www.blendsandtea.cl/,Nivel -1,-1,,,,Tienda
Lippi,"Quiénes somos.¿Qué es Adidas?.La tienda más grande de Adidas Originals en Chile. Celebrando la originalidad desde 1972. Remezclando el pasado. Creando el futuro..¿Qué es Lippi?..Equípate para recorrer la Cordillera de los Andes con productos diseñados para rendir en su terreno. Nacimos entre montañas, aprendemos de ellas y estamos comprometidos con su cuidado. Queremos inspirarte a explorar su fuerza salvaje, conectar con su naturaleza única y vivir experiencias que se quedan para siempre..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..#ffffff.0Deporte.Tienda.</p>
",https://mut.cl/tiendas/lippi/,https://www.instagram.com/lippioutdoor/?hl=es /; https://www.facebook.com/lippioutdoor; https://www.youtube.com/channel/UCfClJbf8DKC6oVvmOrQz7Iw,L-D: 10:00 - 20:00,www.lippioutdoor.com,https://www.lippioutdoor.com/,Nivel 2,2,,,,Tienda
BackOnline,"Quiénes somos.¿Qué es Adidas?.La tienda más grande de Adidas Originals en Chile. Celebrando la originalidad desde 1972. Remezclando el pasado. Creando el futuro..¿Qué es BackOnline?..En BackOnline encuentras equipos Apple reacondicionados por expertos, con repuestos originales y 100% funcionales. Al ser Recycler Partner de MacOnline, aseguramos que cada producto que vendemos cumpla con los estándares más exigentes del mercado. Tecnología como nueva, a mejor precio y con menor impacto ambiental. Mejor para tu bolsillo, mejor para nuestro planeta..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..#ffffff.0Deporte.Tienda.</p>
",https://mut.cl/tiendas/backonline/,https://www.instagram.com/backonline.cl/,L-D: 10:00 - 20:00,www.backonline.cl,https://www.backonline.cl/,Nivel -3  ,-3,,,,Tienda
Vestuá,"¿Qué es Vestuá?..Vestuá es moda de segunda mano para quienes quieren revolucionar su forma de comprar. Es una plataforma para explorar tu estilo y soltar lo que ya no va contigo. Creemos que renovar tu clóset es tan simple como ser tú. Aquí encuentras joyitas únicas que se adaptan a tu momento. Sin culpa, sin excesos, con autenticidad. Si buscas vestir tu identidad, este es tu lugar..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..Ropa.</p>
",https://mut.cl/tiendas/vestua/,https://www.instagram.com/vestuachile/,L-D: 10:00 - 21:00,www.vestua.cl,https://www.vestua.cl/store,Nivel -1,-1,,,,Tienda
Conscious,"¿Qué es Conscious?..Somos una marca chilena, de fabricación y diseño nacional. Encuentras principalmente hoodies, de algodón de alta calidad, que ofrecen mucha comodidad y buena vibra a tus outfits..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..Ropa.</p>
",https://mut.cl/tiendas/conscious/,https://www.instagram.com/cons_chile/,L-D: 10:00 - 20:00,www.shop-cons.com,https://shop-cons.com/,Nivel -1,-1,,,,Tienda
Provap,"¿Qué es PROVAP Vape Store?..Es una tienda especializada en vaporizadores, pods desechables, líquidos con y sin nicotina, repuestos y accesorios. Nos apasiona ofrecer productos de calidad y acompañar a quienes buscan cambiar hábitos, mejorar su experiencia o simplemente disfrutar del vapeo con las mejores marcas internacionales del mercado..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..Accesorios.Servicios.</p>
",https://mut.cl/tiendas/provap/,https://www.instagram.com/provap.cl; https://www.facebook.com/vapers.provap,L-D: 10:00 - 20:00,www.provap.cl/,https://www.provap.cl,Nivel -3,-3,,,,Tienda
JOIA,"¿Qué es JOIA?..JOIA nace en Santiago de Chile en 2007 con el propósito de crear un espacio en el que comunicar, expresar y compartir una identidad ligada al arte, el diseño, la calle y el underground. A lo largo de estos años, no solo nos hemos establecido como un medio de comunicación impreso y digital, construido una marca o puesto en marcha una tienda online y física, sino que también hemos formado orgánicamente una comunidad de personas que comparten nuestros ideales y manera de ver el mundo, en todas sus formas..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..Accesorios.Ropa.Ropa.Urbano.</p>
",https://mut.cl/tiendas/joia/,https://www.instagram.com/joiamarket/,L-D: 10:00 - 20:00,joiamarket.com/,https://joiamarket.com/,,,,,,Tienda
AZAFRAN,"¿Qué es Azafran?..Librería Azafrán es una librería independiente ubicada en el piso 3 del MUT. Más que un lugar para comprar libros, es un espacio cultural pensado como punto de encuentro para lectores. Ofrece clubes de lectura, cuentacuentos, talleres y exposiciones de ilustradores. Su diseño invita a hojear con calma y disfrutar la lectura en un ambiente cálido, justo al lado del jardín del MUT..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..Librería.</p>
",https://mut.cl/tiendas/azafran/,https://www.instagram.com/libreriaazafran,L-S: 10:00 - 21:00 - D: 10:00 - 20:00,www.libreriaazafran.cl,http://www.libreriaazafran.cl,Nivel 3,3,,,,Tienda
Guagüitas a la moda,"¿Qué es Guagüitas a la moda?..Tienda de vestuario para guagüitas de 0 a 6 años. Aquí podrás comprar ropa de diseño y calidad premium o arrendar mediante la suscripción Guagüibox, donde accedes a un set de prendas de la tienda que puedes recambiar cada vez que necesites una nueva talla o temporada..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..Niños.Pijamas.Ropa.</p>
",https://mut.cl/tiendas/guaguitas-a-la-moda/,https://www.instagram.com/guaguitasalamoda/; https://www.facebook.com/guaguitasalamoda; https://www.tiktok.com/@guaguitas.alamoda,L-D: 10:00 - 20:00 ,guaguitasalamoda.cl,https://guaguitasalamoda.cl/tienda/,,,,,,Tienda
Karungen,"¿Qué es Karungen?..con la misión de dar vida a los espacios, trayendo la esencia de la naturaleza a cada hogar a través de terrarios eternos. Queremos llevar la belleza y serenidad de ecosistemas autosuficientes a cada rincón de la ciudad, contribuyendo a construir un mundo más verde y consciente..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..Decoración.Decoración.Flores.</p>
",https://mut.cl/tiendas/karungen/,https://www.instagram.com/terrarioskarungen/; https://www.facebook.com/terrarioseternoskarungen,10am a 8pm horario continuado,www.terrarioskarungen.cl,http://www.terrarioskarungen.cl,,,,,,Tienda
Toke,"¿Qué es Toke?..Toke es una marca para los que siempre están en movimiento. Inspirada en los fierros, la mecánica y la playa, crea productos de calidad y atemporales. Más que ropa, es un estilo de vida: desafiarse, moverse y vivir con actitud..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..Ropa.</p>
",https://mut.cl/tiendas/toke/,https://www.instagram.com/toke_chile/,L-D: 10:00 - 20:00,www.toke.cl,https://www.toke.cl/,Nivel -1 - Local 112,-1,112,,,Tienda
B+D,"¿Qué es B+D?..B+D ofrece anteojos pregraduados de lectura, con y sin filtro de luz azul, y de sol para adultos y niños. Con más de 30 años en el mercado, nos dedicamos a ofrecer soluciones para la visión en todo el mundo..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..Ópticas.</p>
",https://mut.cl/tiendas/bd/,https://www.instagram.com/bplusd.chile?igsh=azRia3NpNjFvb2Ns,L-D: 10:00 - 20:00,,,Nivel -1,-1,,,,Tienda
TheColorShop,"¿Qué es TheColorShop?..Nuestra tienda es un destino para  quienes buscan materiales que inspiren, en distintas técnicas y expresiones. Exploramos las marcas de arte más innovadoras; para así ofrecer una variedad sin límites para pintar y crear.Arte.Decoración.Manualidades.Papelería.</p>
",https://mut.cl/tiendas/thecolorshop/,https://www.instagram.com/thecolorshopcl?igsh=ZGxhOTFwMTVoamVt,L-S: 10:00 - 20:00 D & F: 10:00 - 19:00,,,Nivel -1,-1,,,,Tienda
Ranty,"¿Qué es Ranty?..En Ranty, saben que cocinar es un arte y que cada plato es una oportunidad para deleitar los sentidos. Su objetivo es proporcionarte los utensilios funcionales para facilitar su experiencia en la cocina y los accesorios más innovadores para explorar tu pasión por la cocina y crear momentos memorables..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..Hogar.</p>
",https://mut.cl/tiendas/ranty/,https://www.instagram.com/ranty.cl/; https://www.facebook.com/RantyOficial/?show_switched_toast=0&show_invite_to_follow=0&show_switched_tooltip=0&show_podcast_settings=0&show_community_review_changes=0&show_community_rollback=0&show_follower_visibility_disclosure=0,L-S: 10:00 - 20:00 D & F: 10:00 - 19:00,,,Nivel -2,,,,,Tienda
Sellos Vintage,"¿Qué es Sellos Vintage?..La mejor selección de ropa reciclada para mujeres y hombres, con un estilo diferente. Encuentra  prendas 100% de cuero original, como pantalones, chaquetas, gillets, bombers y mucho más para tu sello vintage..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..Ropa.</p>
",https://mut.cl/tiendas/sellos-vintage/,https://www.instagram.com/sellos_vintage_?igsh=MW1ranM2OTk5YW11dA%3D%3D&utm_source=qr,L-D: 10:00 - 20:00,,,Nivel -1,-1,,,,Tienda
Nike,"¿Qué es Nike?..Nike combina innovación, diseño y rendimiento en cada producto. Inspirando a millones alrededor del mundo, Nike impulsa a las personas a superar sus límites y alcanzar su máximo potencial, dentro y fuera del deporte..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..Deporte.</p>
",https://mut.cl/tiendas/nike/,https://www.instagram.com/nike/; https://www.facebook.com/nike,L-D: 10:00 - 20:00,,,Nivel 2,2,,,,Tienda
Cavalera,"¿Qué es Cavalera?..Cavalera es una constante evolución para llevar lo urbano a un espacio donde artistas y clientes pueden juntarse a crear en conjunto experiencias inolvidables. El tatuaje es mucho más que tinta y piel; hay conexión, emociones, historias y por sobre todo un ánimo de aprendizaje constante, que nos lleva día a día a mejorar en diferentes formas y hacer que cada cliente se lleve mucho más que una obra de calidad..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..Estudio de Tatuajes.</p>
",https://mut.cl/tiendas/cavalera/,https://www.instagram.com/cavalera.cl?igsh=MWJmOHBxYWM1MHNyeA==,L-D: 10:00 - 20:00,,,Nivel 1,1,,,,Tienda
Blueblood,"¿Qué es Blueblood?..Básicos y jeans atemporales que te acompañarán por mucho tiempo. Todos sus productos, hechos en Chile con la mejor materia prima, impulsan la economía local con comercio justo y prácticas sustentables..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..Ropa.</p>
",https://mut.cl/tiendas/blueblood/,https://www.instagram.com/blueblood.cl/?hl=es,L-D: 10:00 - 20:00,,,Nivel -1,-1,,,,Tienda
Needle,"¿Qué es Needle?..En Needle, somos un grupo de músicos y amantes de la música que, desde hace más de 10 años, nos dedicamos a buscar y probar productos que mejoran la experiencia de escuchar música. Nuestras tiendas no solo se especializan en la venta de diversos formatos musicales, equipos y complementos de audio, sino que también se han convertido en espacios culturales donde se realizan eventos y actividades que promueven la música y las artes..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..Música.</p>
",https://mut.cl/tiendas/needle/,https://www.instagram.com/needlevinilos/?hl=es; https://www.facebook.com/needlevinilos/?locale=es_LA,L-D: 10:00 - 20:00,,,Nivel -1,-1,,,,Tienda
